Y,X1,X2,X3
33270615,109,315,969
3329376,439,24,316
71100232,346,287,716
106807500,564,505,375
22377600,320,259,270
27701982,759,553,66
192843504,522,504,733
44148048,236,262,714
166828032,288,862,672
450450,13,315,110
113889500,379,601,500
71010144,683,288,361
2047612,62,674,49
8330400,267,312,100
269118034,454,613,967
41167008,159,288,899
36326304,84,974,444
53289600,364,800,183
274364144,898,844,362
1773270,61,34,855
10650640,35,988,308
144976832,949,616,248
648578304,942,978,704
1694400,240,353,20
6207110,665,13,718
436179456,919,512,927
94120650,650,519,279
54485970,458,515,231
53090856,962,657,84
20259072,576,977,36
591021068,817,902,802
13982176,122,152,754
494269800,950,908,573
150193680,529,507,560
11736400,100,962,122
52778880,374,490,288
180842538,878,967,213
243013040,551,592,745
4285600,400,487,22
19965,121,11,15
234968272,616,709,538
120918280,136,931,955
24087112,28,929,926
103592846,149,742,937
4026880,520,16,484
383079216,494,818,948
308283168,573,989,544
32074223,323,499,199
87401886,598,309,473
60991860,772,345,229
18670080,132,340,416
295431872,736,479,838
133912842,222,629,959
39107510,95,446,923
76415010,735,229,454
81191880,505,264,609
3178140,735,23,188
383521125,755,975,521
308702160,845,944,387
3783318,399,862,11
268339500,825,468,695
5278914,18,311,943
515824470,921,630,889
94775184,378,337,744
152058060,924,621,265
29157248,361,631,128
227321224,766,676,439
356807220,649,980,561
225744084,542,486,857
162378608,329,566,872
223993264,848,407,649
106801240,259,845,488
3067680,332,168,55
4942000,10,700,706
12813570,946,645,21
9641000,155,200,311
87554432,532,592,278
38282396,124,713,433
8701056,996,26,336
4019640,129,152,205
91798800,674,454,300
32077760,701,715,64
28828800,448,550,117
95259780,790,319,378
16442217,29,913,621
110081868,676,527,309
140592384,878,834,192
246739416,649,438,868
94174542,726,213,609
26678236,206,293,442
111044736,864,506,254
1348480,2,860,784
111618000,954,650,180
27752560,880,671,47
318060,6,155,342
622688,29,176,122
1055736,4,473,558
14698880,772,544,35
28122645,295,739,129
179190,1,181,990
5097204,358,42,339
64656576,837,284,272
519079050,735,885,798
60671237,473,817,157
309387080,986,580,541
554403784,997,712,781
166478246,346,527,913
105586470,487,330,657
1171555,77,85,179
71100078,257,941,294
1523970,413,410,9
119912800,380,644,490
35488032,888,206,194
9081558,183,54,919
73563088,944,523,149
50379406,101,553,902
167161500,605,921,300
4489440,94,796,60
127403136,336,488,777
21102266,131,478,337
180763440,458,506,780
4084128,232,163,108
153470000,824,625,298
4063254,678,461,13
11344440,166,510,134
74104896,519,194,736
314790120,804,421,930
221893920,691,360,892
587343960,945,696,893
7096455,537,15,881
47615436,153,484,643
130862784,888,676,218
21081564,777,399,68
414062370,510,977,831
36979800,431,440,195
116225109,931,873,143
331554762,847,594,659
124244000,356,1000,349
358367394,467,906,847
183136030,557,385,854
509284092,769,687,964
204224400,612,355,940
87100400,470,820,226
30400920,81,440,853
5553900,330,170,99
72390050,530,295,463
4040848,662,109,56
305318160,954,504,635
481040508,797,636,949
53440128,752,564,126
232851440,601,580,668
18868878,238,207,383
789533550,934,975,867
91236204,933,843,116
116593664,352,352,941
6345581,787,11,733
15209775,105,435,333
94726400,400,304,779
24074190,63,721,530
6084144,69,501,176
1909680,8,438,545
13973925,25,619,903
33672240,102,786,420
50207850,506,735,135
82178712,549,216,693
20202504,419,84,574
18753280,832,161,140
35049924,823,252,169
69393600,960,915,79
155422080,605,384,669
148656912,437,373,912
38054016,704,126,429
40190320,193,304,685
38555847,739,279,187
111853456,988,682,166
137731230,938,585,251
36480990,581,598,105
396048,74,24,223
138425385,215,713,903
334950660,535,918,682
97978755,971,465,217
8732976,14,658,948
144756360,476,930,327
1779984,789,282,8
254655390,726,365,961
31068324,868,97,369
235970280,980,441,546
19575864,66,308,963
150020640,492,840,363
7782288,823,12,788
193023610,835,523,442
59483136,268,768,289
324168984,622,558,934
41340411,623,73,909
12951080,164,745,106
134960664,696,211,919
49950320,191,560,467
67368960,680,387,256
397135376,976,781,521
99928965,933,691,155
233148468,779,588,509
24100110,30,993,809
18783776,272,473,146
132815605,533,305,817
134910195,201,889,755
319770000,646,625,792
25969216,637,112,364
71764650,425,531,318
185300280,803,360,641
72393048,812,234,381
140089014,702,389,513
3335248,307,194,56
137920926,754,759,241
2806881,419,33,203
75508200,177,900,474
246133497,939,289,907
12240090,921,15,886
78900381,249,573,553
81693000,360,725,313
55144800,216,276,925
28966080,844,55,624
87927060,323,390,698
1439271,409,391,9
12184920,255,132,362
44512665,695,111,577
18236000,50,470,776
72183552,463,174,896
112652640,879,180,712
82180670,715,569,202
402708150,975,943,438
13150280,494,55,484
183989169,637,479,603
178713760,496,526,685
75344136,966,148,527
130644000,900,760,191
142597260,549,370,702
10910592,693,82,192
13662480,755,156,116
39085200,792,105,470
11484550,314,133,275
127213416,891,216,661
27909288,269,198,524
177809520,971,218,840
6011658,863,162,43
639324,7,708,129
38065300,700,89,611
106342656,151,768,917
21898944,874,116,216
19475460,45,514,842
25777920,685,84,448
315000,120,25,105
285929028,657,462,942
246473472,508,532,912
189515776,328,592,976
203421598,554,599,613
6104956,26,286,821
80916264,271,319,936
220495008,788,786,356
48640,19,256,10
13841100,18,845,910
41318784,372,416,267
260645040,522,855,584
247523364,891,398,698
6809794,23,634,467
46977050,185,379,670
281537040,958,744,395
189693495,521,435,837
469119447,907,909,569
178183155,249,857,835
438760140,754,815,714
201301800,668,735,410
41751360,763,114,480
214278624,628,504,677
14182584,694,78,262
83544247,977,233,367
318693914,847,838,449
1061720,2,836,635
62653265,115,883,617
51781022,677,167,458
701197950,914,795,965
14915472,286,246,212
339213,1,609,557
34608960,394,180,488
17172480,172,208,480
164348040,708,835,278
2530722,43,102,577
11793840,313,471,80
53251056,711,248,302
190655500,244,875,893
27690850,115,398,605
33802020,60,973,579
36223200,585,720,86
29404683,281,693,151
109573449,857,327,391
275060336,688,401,997
159041355,407,545,717
85662200,650,188,701
4800040,31,196,790
11138400,170,168,390
272887308,631,586,738
245845245,255,967,997
127317500,254,625,802
20525840,106,824,235
54723608,151,509,712
6125980,38,658,245
39917472,764,168,311
465120,6,85,912
183615732,438,654,641
24552828,933,36,731
194151892,902,383,562
232875,115,405,5
282417520,508,665,836
99591000,746,534,250
129536855,415,427,731
6477000,20,425,762
185491548,439,873,484
244151440,590,598,692
33838860,316,177,605
231347597,719,467,689
174042736,566,476,646
25114920,235,366,292
1155858,22,249,211
356962606,793,869,518
23043912,186,188,659
173324736,936,632,293
76506528,181,629,672
5462600,191,275,104
55566000,750,147,504
68665380,413,510,326
118951704,342,977,356
196574280,662,707,420
132044850,471,525,534
793706760,990,836,959
124358850,330,555,679
35425250,250,653,217
170765784,582,588,499
58397955,341,699,245
104888784,962,462,236
241148250,753,915,350
3802194,111,66,519
1802920,685,4,658
391902056,728,551,977
206451044,538,626,613
104422185,667,639,245
36957416,433,227,376
18210150,141,630,205
13912668,924,63,239
101348046,303,521,642
15846912,543,152,192
7303374,529,354,39
46835544,391,276,434
212963328,576,872,424
16531480,119,460,302
1626849,153,217,49
62045744,622,674,148
48854124,531,246,374
153935100,213,876,825
229127360,595,547,704
270600,22,20,615
172721808,252,948,723
27084,244,111,1
16307760,119,240,571
35376000,737,384,125
80836920,890,348,261
368645964,906,778,523
32921100,225,178,822
7076160,540,126,104
41516342,349,406,293
250156100,745,515,652
505548,151,27,124
20732800,128,275,589
63252306,239,507,522
74421240,136,573,955
62127,351,59,3
146511508,884,793,209
94857840,132,826,870
129868830,909,182,785
349177320,820,577,738
37104480,818,70,648
73748584,202,826,442
15102720,135,608,184
164615278,437,437,862
70187520,768,962,95
5559400,616,361,25
116895088,691,436,388
74517963,481,339,457
18243888,156,169,692
98596764,189,774,674
463048245,891,859,605
109782000,428,540,475
253911240,396,737,870
135322754,782,419,413
149363760,840,977,182
474389897,743,839,761
163003698,627,286,909
91802,394,233,1
142213740,487,465,628
431425035,909,795,597
205487100,579,676,525
128330808,866,636,233
48725056,599,124,656
1634660,37,47,940
60775680,456,784,170
118329120,903,252,520
12789576,129,216,459
39800832,128,328,948
279104,49,8,712
179778760,719,665,376
623314000,698,950,940
10715355,391,45,609
12765200,194,200,329
75252616,568,361,367
552602250,810,941,725
231906054,659,534,659
531635424,752,717,986
169212680,377,980,458
255298725,549,475,979
7350078,219,194,173
121991400,855,410,348
38928384,384,528,192
103941320,776,301,445
368274080,970,488,778
111272304,946,754,156
146791040,719,320,638
86637074,358,271,893
165033336,403,904,453
271927614,521,602,867
2507450,485,47,110
251955340,845,322,926
82378872,321,867,296
146826225,909,923,175
393946658,509,826,937
208914750,367,750,759
495936000,576,875,984
145603524,759,241,796
7336080,886,24,345
38254248,116,591,558
303941210,526,815,709
81543216,142,674,852
26312832,502,208,252
319443520,704,755,601
25208068,262,146,659
2518448,752,17,197
386882175,885,629,695
83331600,590,535,264
81498312,742,113,972
279378000,900,374,830
42075850,839,850,59
11442912,173,159,416
21872928,224,807,121
132457600,320,781,530
190787508,417,716,639
3388824,541,216,29
9912210,33,613,490
29919780,135,759,292
36685080,90,724,563
402119718,994,897,451
715808016,924,797,972
3500350,365,274,35
38817072,873,794,56
207803844,739,657,428
7517664,336,678,33
137103278,494,481,577
243750,78,625,5
260796900,574,699,650
24776752,77,364,884
22834977,957,107,223
458919948,881,996,523
318509040,790,642,628
351661254,717,742,661
28812472,338,422,202
62374104,291,234,916
154218750,705,875,250
6603220,545,233,52
112498260,973,492,235
85059117,319,477,559
95993620,445,398,542
10795816,652,974,17
607456304,871,958,728
77208120,134,970,594
426357015,535,959,831
7377510,215,266,129
3647601,257,747,19
301376250,774,875,445
120844920,491,586,420
98861940,633,411,380
83992920,985,88,969
187494454,883,406,523
362196952,692,533,982
4921344,96,356,144
187301632,896,823,254
258720280,740,791,442
38639160,90,807,532
140993980,626,505,446
36384768,252,282,512
48807408,86,856,663
44001400,235,604,310
231266880,923,783,320
191298705,663,299,965
155070699,283,679,807
89105000,250,710,502
29000400,390,220,338
16452920,305,88,613
23947560,340,234,301
125102880,591,720,294
3242200,58,860,65
9808312,61,404,398
54460648,121,508,886
64141968,319,472,426
18904578,77,249,986
355185090,603,985,598
26824224,446,537,112
26820000,625,149,288
257161137,789,851,383
111695500,235,485,980
26059026,111,287,818
11900400,200,422,141
19425952,953,784,26
9500384,122,124,628
6986322,178,147,267
5771412,36,423,379
285913401,813,877,401
5494335,213,67,385
1171419,17,309,223
4789500,103,75,620
410669952,448,946,969
821028,988,277,3
22031190,81,461,590
37896336,486,722,108
57818880,560,144,717
200655000,350,882,650
60981954,638,453,211
31145576,217,466,308
19242300,238,525,154
14873166,539,73,378
19562894,199,247,398
107724180,230,622,753
93489396,429,602,362
133595550,394,411,825
54596960,463,440,268
103829040,405,392,654
445223740,839,785,676
10211339,731,61,229
3011850,575,582,9
69328270,515,319,422
200625750,325,722,855
88718588,436,709,287
2345816,244,418,23
13000680,840,33,469
169080912,782,378,572
8339868,282,186,159
23035320,99,280,831
51916480,616,172,490
11466336,168,113,604
26721504,876,41,744
95922792,441,684,318
24951504,388,466,138
148642830,885,903,186
340927488,912,704,531
198781440,312,724,880
196036064,434,763,592
171091764,834,522,393
14670600,35,499,840
142568480,515,328,844
222738600,525,724,586
104144040,252,715,578
301256370,687,705,622
56027400,653,550,156
135925440,420,716,452
138864200,335,482,860
130464360,360,457,793
38351920,542,232,305
666544320,760,936,937
483935760,946,980,522
29901300,884,41,825
202002240,555,752,484
84867400,425,218,916
366365186,761,554,869
40415232,256,572,276
116049024,738,728,216
96438855,839,291,395
81264330,570,511,279
19040,140,1,136
253968,222,13,88
96289020,204,617,765
570007000,647,881,1000
67949700,182,393,950
290025120,616,885,532
172105780,805,226,946
368960925,885,995,419
62457840,778,120,669
205275600,996,458,450
126958722,739,209,822
50859270,895,693,82
1607232,761,33,64
175178718,726,269,897
58125312,136,636,672
9661584,604,516,31
133402500,275,588,825
19627200,870,480,47
159169608,309,676,762
16086432,402,82,488
10988000,205,268,200
185873580,285,834,782
268642224,524,564,909
172142880,563,637,480
26610260,239,586,190
102180928,199,904,568
111638560,548,463,440
173449386,363,821,582
92281980,410,483,466
153613566,333,877,526
37032600,825,181,248
2072520,6,404,855
6849440,370,52,356
34158111,757,89,507
67640508,101,689,972
298788270,942,395,803
18304104,78,578,406
147322056,356,826,501
685968,16,461,93
12113064,972,31,402
241356615,971,681,365
39716352,459,676,128
133555554,297,894,503
1654576,136,14,869
31531875,625,201,251
135864960,919,480,308
17827875,125,477,299
47575700,745,515,124
58167263,539,347,311
1972026,14,333,423
187129800,727,396,650
32688810,583,623,90
79249632,308,852,302
138968622,906,897,171
62347098,303,398,517
43632540,970,833,54
352609840,674,638,820
165815280,460,527,684
82616540,332,317,785
220899918,898,491,501
119620800,480,426,585
22943340,105,786,278
34160000,427,250,320
146699450,886,925,179
181760280,871,282,740
48804850,185,851,310
309084300,691,497,900
334373860,997,820,409
5051704,28,263,686
5589584,364,698,22
3219576,12,823,326
59483612,146,521,782
90987200,160,779,730
686470140,985,956,729
46080238,194,269,883
79262994,457,822,211
166023228,618,619,434
15896850,809,393,50
8643888,54,214,748
279545848,376,899,827
1279200,20,195,328
120033448,937,239,536
16703520,85,552,356
126489300,725,402,434
4027800,588,137,50
74973600,534,900,156
85033728,208,612,668
90794331,261,359,969
95355896,409,772,302
45495306,103,477,926
402532650,975,871,474
27093804,628,219,197
131572608,548,246,976
16658082,127,694,189
30171600,261,272,425
58204656,432,463,291
298312500,430,750,925
335083980,406,902,915
73340595,635,123,939
38170392,822,494,94
222495000,350,975,652
37601550,945,230,173
30276090,65,687,678
40445720,476,586,145
112126014,637,889,198
4911972,13,444,851
62872488,284,251,882
135240630,371,419,870
488040858,643,849,894
4223375,299,125,113
121501376,257,664,712
108646272,252,432,998
194314848,377,708,728
86709420,678,315,406
124686432,624,306,653
194453616,708,577,476
75356952,397,719,264
77047425,923,159,525
14157990,454,165,189
407082048,647,928,678
109542645,809,153,885
15096240,964,522,30
227077500,442,750,685
422324630,794,637,835
67712274,841,994,81
349698762,657,609,874
6885000,255,750,36
40508160,274,896,165
17909704,239,136,551
46695744,432,886,122
200533581,969,683,303
582912,16,92,396
3298470,42,565,139
396830410,835,811,586
40261715,65,689,899
113910720,759,560,268
193422460,427,580,781
32124288,592,136,399
57590298,521,801,138
11622528,108,152,708
22958160,136,170,993
38430600,845,758,60
1889505,995,9,211
327313116,711,681,676
34725768,168,437,473
81950560,296,545,508
322416150,370,903,965
445128750,825,654,825
101011608,488,981,211
56535570,118,567,845
275290620,957,757,380
24554376,129,309,616
768088640,956,880,913
29994720,565,84,632
140553600,880,264,605
43964448,158,528,527
16354767,569,39,737
131571840,493,480,556
69916912,346,754,268
254462915,655,437,889
91577640,583,616,255
165318480,335,596,828
61504992,372,664,249
388574472,836,606,767
212726712,748,417,682
9585368,962,47,212
3115392,912,854,4
94157084,266,359,986
18781722,873,347,62
53826669,507,823,129
9854262,99,157,634
57623280,584,506,195
11461314,529,942,23
149599920,285,619,848
230918098,523,514,859
49894218,549,187,486
627925632,904,696,998
101224200,770,626,210
309239784,721,966,444
348688620,791,790,558
392977728,936,734,572
21296070,31,765,898
33727680,336,210,478
266400,555,5,96
144121740,343,745,564
48015582,194,391,633
15104880,432,63,555
9662196,109,89,996
134284700,187,860,835
247170846,523,949,498
2119260,57,169,220
152104260,660,803,287
6474600,327,99,200
241977918,467,949,546
372862644,914,883,462
102988908,726,639,222
25247376,138,484,378
280438800,932,340,885
61413170,311,806,245
146800080,855,292,588
9763320,42,236,985
127138614,323,681,578
369312360,956,978,395
207534208,652,812,392
45920672,527,778,112
587145053,829,737,961
459203007,677,727,933
70125874,277,338,749
157261760,830,992,191
16893360,158,660,162
204020838,438,541,861
10713528,522,28,733
34518400,938,800,46
344707836,489,814,866
444869964,961,501,924
191266880,448,829,515
16803072,156,306,352
20876340,485,51,844
154832256,631,864,284
42349860,305,406,342
105592080,740,188,759
28994100,761,60,635
72527400,330,333,660
109364440,653,316,530
43001818,626,73,941
22826909,581,389,101
14670810,462,73,435
1823976,84,658,33
3047604,98,438,71
419925000,825,1000,509
19845216,669,824,36
75172640,85,953,928
179787015,515,491,711
21207912,484,67,654
105036768,276,471,808
97444660,355,842,326
29903160,388,105,734
65200236,321,493,412
19519280,440,82,541
22015370,962,199,115
222391830,465,562,851
12165854,202,263,229
19012320,810,489,48
133453278,237,654,861
22506668,773,116,251
145246948,242,997,602
13118868,518,63,402
246412800,540,992,460
137897760,308,984,455
774093770,887,886,985
161848512,586,548,504
404012004,869,901,516
86773950,342,995,255
133148840,892,506,295
1514304,176,36,239
5705054,334,589,29
32232002,341,283,334
101207490,554,285,641
6788448,432,18,873
29664532,83,398,898
381980244,607,687,916
352187600,626,970,580
59628660,182,670,489
195080550,705,295,938
26900328,182,339,436
204413340,865,282,838
30245864,902,404,83
914013310,959,955,998
106925700,590,863,210
113121875,265,625,683
151848060,959,182,870
4804488,216,377,59
234497640,780,806,373
24173592,204,662,179
123793054,371,638,523
35031156,307,222,514
36548062,734,493,101
1948336,442,8,551
77844753,419,189,983
146621475,441,465,715
62665200,325,208,927
345537192,741,757,616
349692552,972,474,759
109781848,418,517,508
111448810,985,139,814
179155326,971,191,966
102408192,256,864,463
63561935,955,589,113
109634616,728,261,577
9038832,187,636,76
520276302,819,922,689
905886,531,853,2
92120980,469,854,230
75765144,728,307,339
192177258,687,406,689
14855256,236,78,807
1435545,365,57,69
104883912,392,411,651
127847720,806,412,385
21626808,29,772,966
178005600,984,670,270
283220784,712,462,861
392594784,482,852,956
9090240,204,80,557
65873496,447,169,872
746460,58,22,585
342720,170,8,252
82688510,262,799,395
13748812,98,154,911
149246592,794,267,704
205494784,856,484,496
5935032,426,387,36
146637810,873,330,509
86634125,691,295,425
3176712,27,154,764
19892040,833,40,597
13453824,64,228,922
50629488,624,173,469
111922560,459,320,762
178038000,471,400,945
17751258,906,933,21
145035670,290,949,527
273345520,980,677,412
361187000,500,953,758
122847560,172,755,946
135186975,255,561,945
98769360,870,617,184
191342736,351,831,656
42880178,347,274,451
67222012,341,446,442
53796150,555,270,359
8089521,107,237,319
96649920,240,444,907
1848000,42,55,800
5164569,31,963,173
41641833,61,727,939
43651552,679,196,328
212226000,978,620,350
25752912,212,212,573
33299370,318,585,179
12087340,85,292,487
8851584,267,74,448
68511744,216,384,826
322899148,949,703,484
53106240,856,88,705
323244945,755,909,471
283032480,372,920,827
155247960,420,878,421
179811632,572,412,763
95813682,163,626,939
74496429,603,777,159
491161848,872,573,983
2344230,630,61,61
1769850,115,57,270
342125000,460,850,875
216776196,411,882,598
153630420,547,372,755
43237188,279,731,212
108168192,484,776,288
255091936,517,907,544
133471440,941,197,720
7665057,27,313,907
182911404,893,606,338
15183090,683,171,130
211026920,806,689,380
1008864,678,24,62
26044480,110,392,604
322322652,918,421,834
178314240,988,282,640
12832344,287,276,162
22926540,91,570,442
145170144,168,889,972
46494604,631,109,676
100521960,308,473,690
4520052,23,412,477
880866630,958,945,973
150800650,230,917,715
48954675,275,519,343
14535248,728,67,298
158288418,733,837,258
140922775,469,707,425
599648475,813,905,815
82861842,281,413,714
266300127,841,699,453
390136995,867,655,687
17380800,408,71,600
15762412,499,106,298
19554444,381,188,273
12152894,247,337,146
90019530,863,171,610
251598776,761,578,572
99326300,380,857,305
345806424,634,556,981
107752240,628,460,373
2591757,653,21,189
187239168,384,526,927
243424368,528,643,717
14614028,754,22,881
53045824,103,832,619
20634300,606,227,150
63761850,270,365,647
41639840,295,176,802
97650848,656,526,283
35907672,334,372,289
3999996,364,111,99
110160,12,108,85
19022094,553,54,637
19418100,130,390,383
10548720,637,345,48
30631920,451,283,240
191599824,417,611,752
143584140,399,380,947
3454000,110,100,314
9226080,20,596,774
231021,57,579,7
37558080,480,378,207
84501440,160,694,761
1670328,33,888,57
47137804,731,98,658
7386060,589,190,66
83101842,669,927,134
2612794,314,53,157
317938176,844,576,654
33558731,971,107,323
1056612,573,2,922
48532760,71,743,920
188012240,586,520,617
375942360,535,874,804
191501310,911,231,910
10591056,158,456,147
177261032,823,218,988
29037960,501,60,966
335616642,747,727,618
83271240,520,243,659
46866525,505,345,269
287848428,831,973,356
193471200,780,477,520
344537205,813,655,647
106409880,376,855,331
28368,197,72,2
56641280,380,274,544
49924116,628,657,121
42430080,880,168,287
269463600,765,595,592
16482435,545,51,593
76263462,326,561,417
255868676,917,316,883
2232021,11,717,283
16307092,19,874,982
176148000,630,466,600
9751563,369,69,383
220612788,797,594,466
30292848,422,997,72
14926590,258,95,609
455414400,896,675,753
424476624,923,572,804
109833360,658,260,642
433802668,788,689,799
2773290,390,547,13
167757540,678,454,545
84547120,166,952,535
147645730,590,997,251
5356260,436,455,27
147329280,882,720,232
140084588,724,211,917
57582400,365,464,340
168799800,670,380,663
237932800,320,940,791
23850360,36,970,683
321114848,712,823,548
50643824,707,814,88
841403765,887,983,965
65295044,601,346,314
341621500,550,895,694
136785408,912,436,344
111415392,864,209,617
68097927,579,349,337
316523144,868,427,854
26061440,80,344,947
8621184,942,104,88
15492624,588,941,28
191452392,873,347,632
81229500,750,547,198
27877014,639,66,661
263140784,818,509,632
16930944,71,736,324
129064040,409,920,343
314244580,923,587,580
41146176,248,223,744
76681232,268,614,466
46086150,465,901,110
20421216,387,388,136
26914680,810,142,234
287794080,921,360,868
11475772,371,76,407
193366872,516,382,981
50265600,960,308,170
45383286,813,247,226
72745200,275,528,501
159914304,537,792,376
240075275,979,425,577
275288300,290,955,994
1354150,53,365,70
717048,138,12,433
192739950,701,705,390
196922968,947,748,278
40628264,916,331,134
9472740,251,555,68
29872920,616,61,795
8702304,13,912,734
28237608,626,716,63
37216553,391,187,509
46384434,853,171,318
194922000,245,936,850
65526720,280,597,392
94723200,600,312,506
130663464,298,599,732
53811835,649,805,103
69119790,433,255,626
36679552,134,364,752
134633625,431,833,375
92477216,403,284,808
275880498,373,941,786
479812410,785,882,693
141767284,613,716,323
116044724,382,787,386
42007680,442,132,720
13614775,145,211,445
170903621,877,679,287
108388080,261,580,716
614745432,942,714,914
10714770,790,99,137
172539444,959,957,188
251886598,727,907,382
34495825,325,413,257
157256400,772,420,485
338451624,679,644,774
2737548,99,62,446
21473137,761,203,139
8371854,34,753,327
35351844,251,291,484
188768268,342,923,598
38340606,86,859,519
237102672,746,323,984
7042200,363,485,40
517260,466,10,111
4214448,791,144,37
122094126,693,274,643
28364616,674,334,126
63115470,165,807,474
18070180,115,482,326
9963520,32,448,695
4954824,678,18,406
27517896,769,168,213
196551432,924,726,293
463957200,714,950,684
145564010,230,769,823
92719900,886,175,598
66622828,772,409,211
83857592,364,254,907
29206710,106,585,471
92515059,301,923,333
32581044,306,139,766
30534504,132,533,434
22321068,174,374,343
462821175,675,761,901
161347032,327,693,712
66810520,766,178,490
323367660,588,909,605
2462424,888,59,47
50729448,566,194,462
65439660,330,263,754
132016800,821,536,300
120469248,232,864,601
9270270,365,102,249
157558992,586,659,408
94657450,194,725,673
144783294,761,222,857
78595920,156,622,810
542190,22,159,155
90348160,335,448,602
44634150,710,99,635
192597822,907,753,282
